player_name,player_id,league,season,team_id,role_group,minutes,age,xg_p90,goals_p90,xa_p90,assists_p90,key_passes_p90,shots_p90,shots_on_target_p90,progressive_passes_p90,dribbles_p90,tackles_won_p90,interceptions_p90,blocks_p90,headers_won_p90,pressures_p90,possession_won_p90,possession_lost_p90,saves_p90,xg_prevented_p90,finishing,off_the_ball,composure,technique,passing,vision,crossing,pace,acceleration,dribbling,anticipation,decisions,positioning,tackling,marking,concentration,strength,jumping_reach,reflexes,handling,market_value,asking_price,wage,contract_months,owned
ST Squad 1,cur-0-0,Example League,2025/26,Club A,ST,1700,20,0.49,0.486,0.182,0.182,1.69,2.846,1.127,3.9,1.85,0.16,0.27,0.156,0.256,2.41,0.52,3.22,0,0,13,13,12,11,9,8,8,13,12,10,11,10,7,5,4,9,12,10,3,3,12420000,12790000,37100,24,True
ST Target 2,cur-0-1,Example League,2025/26,Club B,ST,840,21,0.516,0.534,0.187,0.195,1.84,3.006,1.227,4.26,2.01,0.128,0.268,0.145,0.252,2.524,0.484,3,0,0,14,14,13,12,10,9,6,14,13,11,12,11,5,3,5,10,10,11,1,1,21140000,22410000,50500,30,False
ST Target 3,cur-0-2,Example League,2025/26,Club C,ST,1030,22,0.55,0.602,0.203,0.195,1.99,3.23,1.395,4.32,2.33,0.16,0.312,0.156,0.256,2.752,0.562,2.56,0,0,16,16,15,14,9,11,8,13,15,13,14,13,7,5,4,9,12,10,3,3,15250000,16620000,41500,36,False
ST Target 4,cur-0-3,Example League,2025/26,Club D,ST,1220,23,0.542,0.562,0.216,0.216,1.99,3.167,1.33,4.62,2.17,0.192,0.314,0.188,0.296,2.638,0.61,2.78,0,0,15,15,14,13,11,10,10,15,14,12,13,12,9,7,6,11,14,12,5,5,19240000,21550000,47600,42,False
ST Target 5,cur-0-4,Example League,2025/26,Club E,ST,1410,24,0.516,0.534,0.187,0.195,1.84,3.006,1.227,4.26,2.01,0.128,0.268,0.145,0.252,2.524,0.484,3,0,0,14,14,13,12,10,9,6,14,13,11,12,11,5,3,5,10,10,11,1,1,14350000,14780000,40100,48,False
ST Target 6,cur-0-5,Example League,2025/26,Club F,ST,1600,25,0.55,0.602,0.203,0.195,1.99,3.23,1.395,4.32,2.33,0.16,0.312,0.156,0.256,2.752,0.562,2.56,0,0,16,16,15,14,9,11,8,13,15,13,14,13,7,5,4,9,12,10,3,3,13260000,14060000,38400,24,False
ST Target 7,cur-0-6,Example League,2025/26,Club G,ST,1790,26,0.542,0.562,0.216,0.216,1.99,3.167,1.33,4.62,2.17,0.192,0.314,0.188,0.296,2.638,0.61,2.78,0,0,15,15,14,13,11,10,10,15,14,12,13,12,9,7,6,11,14,12,5,5,26090000,28440000,58100,30,False
ST Target 8,cur-0-7,Example League,2025/26,Club H,ST,1980,27,0.594,0.648,0.238,0.246,2.29,3.488,1.548,5.34,2.49,0.176,0.334,0.193,0.312,2.866,0.619,2.34,0,0,17,17,16,15,13,12,9,17,16,14,15,14,8,6,8,13,13,14,4,4,18620000,20850000,46600,36,False
ST Target 9,cur-0-8,Example League,2025/26,Club I,ST,2170,28,0.55,0.602,0.203,0.195,1.99,3.23,1.395,4.32,2.33,0.16,0.312,0.156,0.256,2.752,0.562,2.56,0,0,16,16,15,14,9,11,8,13,15,13,14,13,7,5,4,9,12,10,3,3,22280000,22950000,52300,42,False
ST Target 10,cur-0-9,Example League,2025/26,Club J,ST,2360,29,0.542,0.562,0.216,0.216,1.99,3.167,1.33,4.62,2.17,0.192,0.314,0.188,0.296,2.638,0.61,2.78,0,0,15,15,14,13,11,10,10,15,14,12,13,12,9,7,6,11,14,12,5,5,17350000,18390000,44700,48,False
