player_name,player_id,league,season,team_id,role_group,minutes,age,xg_p90,non_penalty_xg_p90,goals_p90,shots_p90,shots_on_target_p90,big_chances_p90,xa_p90,assists_p90,key_passes_p90,chances_created_p90,touches_in_box_p90,penalty_area_entries_p90,progressive_passes_p90,dribbles_p90,crosses_completed_p90,tackles_won_p90,interceptions_p90,blocks_p90,clearances_p90,headers_won_p90,aerial_duels_won_p90,pressures_p90,successful_pressures_p90,possession_won_p90,possession_lost_p90,saves_p90,save_pct,xg_prevented_p90,corners,crossing,dribbling,finishing,first_touch,free_kick_taking,heading,long_shots,long_throws,marking,passing,penalty_taking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping_reach,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,handling,kicking,one_on_ones,reflexes,rushing_out,punching_tendency,throwing,market_value,asking_price,wage,contract_months,owned
Club A GK 1,ClubA-GK-1,Example League,2023/24,Club A,GK,2585,20,0,0,0.051,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.293,84,0.5,17,17.7,18.4,18.4,18.1,18.1,17,17.4,18.1,17,17,18.4,17.7,18.4,17.4,20,17,18.4,20,20,17.7,17.4,17.4,17,18.1,17.7,18.1,18.4,17,17,17,17.7,17.4,18.4,17,17.7,20,20,20,20,20,20,20,20,20,20,20,20258582,21879269,43063,12,False
Club A GK 2,ClubA-GK-2,Example League,2023/24,Club A,GK,958,23,0,0,0.047,0,0,0,0.005,0.004,0.02,0.02,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2.348,84,0.5,16.5,17.2,17.9,17.9,17.6,17.6,16.5,16.9,17.6,16.5,16.5,17.9,17.2,17.9,16.9,20,16.5,17.9,20,20,17.2,16.9,16.9,16.5,17.6,17.2,17.6,17.9,16.5,16.5,16.5,17.2,16.9,17.9,16.5,17.2,20,20,20,19.5,20,20,20,20,20,19.5,20,16846726,18194464,40029,18,False
Club A DC 1,ClubA-DC-1,Example League,2023/24,Club A,DC,2602,21,0.035,0.033,0.09,0.3,0.137,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.6,5.676,2.1,0.05,0,0,0,20,20,17.7,17.7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26971150,29803121,45498,18,False
Club A DC 2,ClubA-DC-2,Example League,2023/24,Club A,DC,969,24,0.035,0.033,0.088,0.3,0.136,0.032,0.05,0.043,0.15,0.15,0.25,0.2,3.7,0.05,0.03,2.25,2.05,1.52,3.4,2.45,2.5,8.6,5.676,2.1,0.068,0,0,0,20,20,17.2,17.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22620600,24995763,42385,24,False
Club A DL 1,ClubA-DL-1,Example League,2023/24,Club A,DL,2619,22,0.015,0.014,0.079,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25881588,29246194,44782,24,False
Club A DL 2,ClubA-DL-2,Example League,2023/24,Club A,DL,980,25,0.015,0.014,0.079,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21594288,24401545,41675,30,False
Club A DR 1,ClubA-DR-1,Example League,2023/24,Club A,DR,2636,23,0.015,0.014,0.079,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24806400,28651392,44067,30,False
Club A DR 2,ClubA-DR-2,Example League,2023/24,Club A,DR,991,26,0.015,0.014,0.077,0.35,0.161,0.014,0.16,0.136,0.98,0.98,0.6,1.1,5,1.15,2.1,1.75,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,19.8,20,20,20,20,20,20,20,19.8,20,19.8,20,20,20,19.8,20,19.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20582350,23772614,40965,36,False
Club A DM 1,ClubA-DM-1,Example League,2023/24,Club A,DM,2653,24,0.086,0.081,0.15,0.708,0.326,0.077,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.8,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.03,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23745588,28019794,43354,36,False
Club A DM 2,ClubA-DM-2,Example League,2023/24,Club A,DM,1002,27,0.084,0.079,0.144,0.703,0.323,0.076,0.16,0.136,1.18,1.18,0.7,0.8,6.1,0.785,0.15,2.25,1.45,0.82,2.2,1.35,1.5,8.6,5.676,2.1,-0.013,0,0,0,19.9,20,19.5,19.5,20,20,19.9,20,20,20,20,19.5,20,20,20,20,19.9,19.5,20,20,20,20,20,19.9,20,20,20,20,19.9,19.9,19.9,20,20,19.5,20,20,19.9,20,20,19.9,20,19.9,20,20,20,19.9,20,19584788,23110050,40257,12,False
