league,season,team_id,matches,goals_for,goals_against,xg,shots,shots_on_target,chances_created,set_piece_goals,xg_against,shots_against,shots_on_target_against,pressures,interceptions,saves
Example League,2023/24,example-2023-1,38,84,26,79.8,688,250.0,500,10.08,27.3,298,107.6,4688,274,126
Example League,2023/24,example-2023-2,38,76,31,72.2,632,230.0,460,9.12,32.550000000000004,338,120.6,4628,269,131
Example League,2023/24,example-2023-3,38,70,35,66.5,590,215.0,430,8.4,36.75,370,131.0,4580,265,135
Example League,2023/24,example-2023-4,38,64,40,60.8,548,200.0,400,7.68,42.0,410,144.0,4520,260,140
Example League,2023/24,example-2023-5,38,58,44,55.1,506,185.0,370,6.96,46.2,442,154.4,4472,256,144
Example League,2023/24,example-2023-6,38,52,48,49.4,464,170.0,340,6.24,50.400000000000006,474,164.8,4424,252,148
Example League,2023/24,example-2023-7,38,48,52,45.6,436,160.0,320,5.76,54.6,506,175.20000000000002,4376,248,152
Example League,2023/24,example-2023-8,38,44,56,41.8,408,150.0,300,5.279999999999999,58.8,538,185.6,4328,244,156
Example League,2023/24,example-2023-9,38,40,60,38.0,380,140.0,280,4.8,63.0,570,196.0,4280,240,160
Example League,2023/24,example-2023-10,38,36,64,34.2,352,130.0,260,4.32,67.2,602,206.4,4232,236,164
Example League,2023/24,example-2023-11,38,32,68,30.4,324,120.0,240,3.84,71.4,634,216.8,4184,232,168
Example League,2023/24,example-2023-12,38,28,108,26.6,296,110.0,220,3.36,113.4,954,320.8,3704,192,208
Example League,2024/25,example-2024-1,38,84,26,79.8,688,250.0,500,10.08,27.3,298,107.6,4688,274,126
Example League,2024/25,example-2024-2,38,77,31,73.14999999999999,639,232.5,465,9.24,32.550000000000004,338,120.6,4628,269,131
Example League,2024/25,example-2024-3,38,72,35,68.39999999999999,604,220.0,440,8.64,36.75,370,131.0,4580,265,135
Example League,2024/25,example-2024-4,38,64,40,60.8,548,200.0,400,7.68,42.0,410,144.0,4520,260,140
Example League,2024/25,example-2024-5,38,59,44,56.05,513,187.5,375,7.08,46.2,442,154.4,4472,256,144
Example League,2024/25,example-2024-6,38,54,48,51.3,478,175.0,350,6.48,50.400000000000006,474,164.8,4424,252,148
Example League,2024/25,example-2024-7,38,48,52,45.6,436,160.0,320,5.76,54.6,506,175.20000000000002,4376,248,152
Example League,2024/25,example-2024-8,38,45,56,42.75,415,152.5,305,5.4,58.8,538,185.6,4328,244,156
Example League,2024/25,example-2024-9,38,42,60,39.9,394,145.0,290,5.04,63.0,570,196.0,4280,240,160
Example League,2024/25,example-2024-10,38,36,64,34.2,352,130.0,260,4.32,67.2,602,206.4,4232,236,164
Example League,2024/25,example-2024-11,38,33,68,31.35,331,122.5,245,3.96,71.4,634,216.8,4184,232,168
Example League,2024/25,example-2024-12,38,30,120,28.5,310,115.0,230,3.6,126.0,1050,352.0,3560,180,220
